label,sms
ham,"Sa pag-ibig, di mahalaga ang nakaraan kundi ang kasalukuyan. Mas matimbang ang karanasan kaysa sa sakit na pinagdaanan. Ang tanging magpapatatag dito ay kapatawaran at hindi ang pagsumbat sa kasalanan."
ham,"Sabi nila LOVE HURTS.
pero, hindi nman LOVE anq nanakit eh.
IKAW!"
ham,"Isa AKO sa naniniwala sa salitang MAHAL KITA.
Isa ako sa umiyak, nasaktan at umasa
pero alam mo ba na sa salitang MAHAL KITA,
natuto akong magsabi ng Shot na! Lintek na PAG-IBIG to"
ham,"Pag mali ka, mali yun lang yon kapag mali ka…
Magsosory ka lng, Hindi kana MAGRARASON"
ham,"Dumistansya lang ako pero hindi ako lumayo.
Dahil hindi porket natitiis kita hindi kana mahalaga.
Mahirap lang talaga pumapel sa buhay ng taong super busy sa iba."
ham,"Ayos lang naman ang magmahal.
Pero sana alam ng tao ang kinaibahan ng...
pagmamahal sa pagpapakatanga"
ham,"Kung pagod ka na, Bitawan mo na hindi yung nagpapakatanga ka
eh madami pa namang ibang mas better sa KANYA"
ham,"Maraming nabubuhay na masaya dahil sa salitang mahal kita.
Pero mas marami ang lumuluha dahil din sa salitang MAHAL KITA"
ham,"Gaano man ka “SWEET” ang tao,
kapag binago mo nagiging bitter"
ham,"Pangit man ako sa iyong paningin,
Paki-check 'yung boyfriend mo kasi sa akin nakatingin."
ham,"Lahat naman pwede mong maging KAIBIGAN,
Ingat ka lang kasi 'yung iba NAGPAPANGGAP lang."
ham,"Hindi ka biniyayaan ng MAGANDANG MUKHA,
Para lang manlait ng iyong kapwa."
ham,"Hindi mo maa-appreciate ang mga bagay na meron ka,
Hangga't patuloy kang NAIINGGIT sa iba!"
ham,"Aanhin mo ang PAG-IBIG na WAGAS,
Kung pag nagsama na kayo, wala kayong pambili kahit na BIGAS."
ham,"Ang babaeng ayaw makipag-date.. PAKIPOT.
Ang lalaking ayaw makipag-date.. KURIPOT."
ham,"Aanhin mo naman ang bahay na bato,
Kung KABIT ka lang naman na itinira dito."
ham,"Ang PULUTAN ay PAMATAY LASA,
Hindi PANTAWID GUTOM."
ham,"Ang FLIRT parang china phone lang,
Nagmamagandang tingnan, LOW QUALITY naman."
ham,"May shortage na ba talaga ng LALAKI ngayon,
At kailangan mo pang MANG-AGAW para magkaroon."
ham,"Pwede kang magmahal ng SABAY pero aminin mo man o hindi,
Hindi mo sila kayang MAHALIN ng PANTAY."
ham,"Kung hindi ka gagawa ng kalokohan habang bata pa,
Wala kang maaalalang nakakatawa pag matanda ka na."
ham,"Kung ipagpapalit mo ako. Siguraduhin mong dun sa MAIINGGIT ako,
hindi dun sa MATATAWA ako."
ham,"Minsan ang pagkukulang wala sa taong nagbibigay,
Kundi sa isip ng taong binibigyan."
ham,"Kasi Single ako at sino naman maka-date ko?
""Valentine Day? Sa araw na ito malungkot ako,
Happy Valentine's sa Single na tulad ko"""
ham,"Wag ka nang mahanap ng ka-date sa Valentine's Day
Dahil isang raw lang yun.
Ang hanapin mo ang makakadate at
makakasama mo habambuhay!"
ham,"Wag ka sanang magalit kung minsan hindi kita pinapansin
Wag kang mag-alala,Paraan ko lang yon, para lambingin mo ulit ako
Love You and Happy Valentines Day!"
ham,"Pa wrong sent wrong sent ka pa,
yun pala miss mo lang siya."
ham,"Tamarin man akong gumawa ng takdang-aralin,
Na kahit minsan nang nasaktan
hindi ako mawawalan ng ganang mahalin ka."
ham,"Kapag ang Babae naka smile habang nang tetext kinikilig yan,
pero pag ang lalaki naka smile habang nagtetext may niloloko yan."
ham,"Kunin mo na lahat pati cellphone ko,
wag lang yung taong mahal ko,
baka matikman mo kung
ano ang KUNG FU .""
Yan kasi ang ka-Valentine ko!"
ham,"Kung ako ang pamasahe, ikaw naman ang gasolina ko,
Kasi Ikaw ang dahilan kung bakit ako Nagmamahal"
ham,"Kung nagdududa ka sa mahala mo kapag hindi mo sya kasama
Painumin mo ng Lactum, Para 100% panatag ka!"
ham,Mahihirapan ka talagang mag MOVE ON kung siya parin ang gusto mong maging KA-RELASYON.
ham,"Kapag rineject ka niya, hayaan mo na. Instead, gumawa ka ng mga paraan para Magsisi siya."
ham,Alam mo kung paano ako magmo-MOVE ON? Magkukunwari ako na di kita mahal hanggang sa ito ay magkaTOTOO.
ham,Hindi lahat ng nakaraan binabalikan yung iba kailangan na talagang kalimutan kasi baka pag binalikan mo pa masaktan ka nanaman.
ham,"Hindi ginawa ang break up para masaktan at lumuha, Ginawa ito para ilayo ka sa maling tao na akala mo tama."
ham,"Tama na yong minsan, sinaktan mo na ako. Pagod na rin akong umasa. At isa pa, Ayaw kong matawag na isang TANGA."
ham,"Hindi lahat ng nakaraan binabalikan yung iba kailangan na talagang kalimutan...
kasi baka pag binalikan mo pa masaktan ka nanaman."
ham,"Kaya hindi ka maka-move on eh, kasi hanggang ngayon, iniisip mo pa rin na pwede ka pa niyang mahalin."
ham,Tandaan! Isa sa mga pinaka-mahirap gawin ay yung mag move on ka kahit hindi naman naging kayo.
ham,Mas madaling mag move on kung mag focus ka muna sa mga taong nagmamahal sayo. Hindi yung mag fofocus ka sa taong mahal mo pero di ka mahal.
ham,"Ay, hindi! Hindi ka mali! Kelan ka ba naman nagkamali??!! Tama ka lagi! Kaya
sa sobrang tama mo, tamaan ka sana ng kidlat!!!"
ham,"Ang mga taong mahilig mag patama o mag parinig ay parang mga taong my BARiL
na magaling lang kumasa , pero di naman marunong TUMiRA NG DiREKTA!"
ham,"LINTIK lang ang walang ganti”
at lalong lalo na, “MATA lang ang WALANG LATAY"
ham,"Di porque ikaw ang huling nagsalita ibig sabihin nabara mo yung ka usap mo!
Malamang nabababawan lang sila sa yo kaya di ka na sinasagot…o kaya sobrang
walang kwenta tingin sa yo at di ka karapat dapat patulan!"
ham,"Kahit gaano karami ang pera mo...
hindi niyan mababago ang masangsang na pagkatao mo!"
ham,"Kung mapera ka, bakit di ka bumili ng
bagong mukha maranasan mo man lang gumanda."
ham,"Hindi mo kailangan ng beautician,
kailangan mo magician! duhh!"
ham,"Hindi naman talaga distansya ang nakakasira sa LONG DiSTANCE RELATiONSHiP..
Kundi ang kawalan ng TiWALA at mga MALiNG HiNALA."
ham,"Para sa akin kong mahal mo ang isang tao
Walang excuses sa isang buwan na hindi ninyo pag uusap
Ano ka basahan na pag kailangan ng patongan ng kaldero"
ham,"Ang tunay na lalaki, kahit malayo ang mahal niya, hindi niya magagawang
mangbabae. Kahit sabihin pa na maraming umaaligid sa kanya, para sa kanya,
wala ng hihigit pa sa mahal niya."
ham,"Sa long distance relationship, may chance na ma develop ka sa iba, pero
tandaan: “di ka ma dedevelop sa iba, kung pipigilan mo dahil: Mahal mo ang ka
relasyon mo, at may konsensya ka."
ham,"Mahirap maging masaya,
lalo na’t malayo ka
Minsan gusto ko ng sumuko at ayaw nang umasa
Ngunit pag-ibig ko sa iyo’y totoo
Kaya naman hinding hindi ko magagawang bumitaw."
ham,"Huwag kang maiinis o magalit kahit sumusobra na ang pagseselos at paghihinala
sayo ng taong mahal mo..Magtaka ka kung yang selos at hinala niya bigla na
lang mawala at lahat ng ginagawa mo balewala na rin sa kanya."
ham,"Paglayuin man tayo ng panahon,
wala ka man sa tabi ko ngayon.
Alalahanin mong lagi kang nasa puso ko
at ikaw ang laging laman ng isip ko."
ham,"Wala naman masama sa pag-magmahal ng sobra sobra basta ba, wag lang sosobra sa ISA."
ham,"Ang type ko sa isang lalaki ay yung hindi na naghahanap ng iba, lalo na pag ""In a relationship"" na siya."
ham,Hindi sa lahat ng pagkakataon BAD iNFLUENCE ang TROPA! Sadyang may mga bagay lang na masarap gawin kapag sila ang KASAMA.
ham,"Bakit kapag may Boyfriend ka ang unang tinatanong lagi ay kung GWAPO ba?
Bakit di nila unang itanong kung Matino ba?"
ham,"Bakit Alak ang sagot sa mga taong Nasasaktan? Simple lang dahil sanay tayong ""Alcohol"" ang gamot pag tayo ay Nasusugatan."
ham,"Ang buhay ay parang Adidas at Nike lang, ""Nothing is impossible"" so ""Just Do It""."
ham,"Pag tinawag kang ""Plastik"", tawagin mo siyang PAPEL. Bakit? kasi hindi ka naman makikipag-Plastikan kung walang Pumapapel eh."
ham,"Hindi naman masamang maging Single ka, ang masama in a Relationship ka nga, Kabet ka naman pala."
ham,"Hindi mo kailangan makipagsabayan sa iba para masabing Gwapo ka, dahil ang tunay na gwapo, Ugali muna ang inaayos bago ang Itsura."
ham,"Wag na wag mo akong papakawalan, kung ayaw mo akong makitang Pinag-Aagawan."
ham,"Hindi mo kailangang magpakita ng pusod at hindi mo kailangang naka-todo make up. Dahil ang tunay na maganda, ngiti palang, pamatay na."
ham,"Wag na wag kang maiinlove sa taong walang pakialam, dahil para ka lang nagwawalis habang nkabukas electric fan, Lahat ng Effort Nasasayang."
ham,Minsan isipin mo muna kung may masasaktan ka sa gagawin mo. Dahil ang SORRY ay nagbubura lang ng Galit at hindi Nagtatama ng Mali.
ham,"Ang Love ay inumpisahan ni Adan at Eba,
Sinundan ni Florante at Laura.
Pinagdaanan ni Romeo at Juliet,
Kinumpleto ni mama at papa
at ngayon itutuloy nating dalawa."
ham,"Di bale nang mahuli mo akong nakatitig sayo...
At least napatunayan kong tinititigan mo din ako"
ham,"Madalas akong magselos hindi dahil para awayin ka...
Kundi para malaman mo na akin ka na atayaw ko na maagaw ka pa ng iba"
ham,"Na-try mo na ba ang feeling na hindi mo siya pinapansin,
pero ang puso mo gusto mo siyang kumustahin."
ham,"Sa lahat ng mga nagtatanong kung kami pa?...
ang sagot ko ""Hindi na po kami... Maghihiwalay"""
ham,"It feels good to hear someone say ""Ingat ka"".
But it feels so much better to hear someone say ""Iingatan Kita"""
ham,"Ikaw yung bagay na hindi Perpekto...pero
Ikaw ang sapat na dahilan kung bakit ako kumpleto."
ham,Ang sarap magmahal ng taong kahit hindi mo kaharap ikaw parin ang hinahanap
ham,"Masarap maging tao at mabuhay...
Pero mas masarap kung maging tayo habambuhay."
ham,"Ang relasyon ay parang pagsusuot ng cocktail dress at rubber shoes ng sabay.
Magkaiba man, babagay pa rin yan depende sa nagdadala."
ham,"Minsan daw, kakapagod magmahal: minsan masaya tapos may oras na iiyak ka! Sabi nila magsasawa din ako. Sabi ko di totoo yun! Alam mo bakit? ""kailan ba nagsawa ang taong nagmamahal ng totoo""…"
ham,"Minsan Okay na din yung MAY HINALA
Para kapag nalaman mo yung TOTOO, hindi ka na MABIBIGLA."
ham,"Kung hihiling ka ng isang relasyon, ang hilingin mo yung tipong mapapasabi nalang ang mga tao ng, “Aw Sila Parin?”"
ham,"Yung relationship na inaabot ng YEARS ang mahirap ilet go 
hindi dahil dun sa TAO pero dahil sa PINAGSAMAHAN."
ham,"Pag sinabi sayo ng isang lalaki: “Gusto ko mapag-isa!”
ang totoo: “Pwede ba dito ka sa tabi ko? Kahit saglit lang?”"
ham,"May notebook ka bang dala? Paki TAKE NOTE nga na may BoyFriend ka na.
Baka kasi nakakalimot yung iba."
ham,"Kung san ka masaya, suportado kita.
Nasasaktan na ako masaya ka pa rin. Ayos lang, basta masaya ka."
ham,"Hindi ko naman kailangan ng mahal na cellphone, ng mahal na ipad, ng mahal na kotse..
ang kailangan ko ikaw, na NAG-IISA KONG MAHAL."
spam,"JARED B., No patch-up, stable server & easy E-pay remit !

Be our JACKPOTCITY member Reward Club & win more !

Join now : jackpotcity. t o p"
spam,"Hello JARED B., Play the Popular Online Casino Games here in Philippines! and win IPHONE 14 PRO MAX

Sign up now here: sbetph. i n f o"
spam,"CYRILLE JAYE H.! Get your WELCOME BONUS up to PHP 3,000! And get a  chance to win an Iphone 14PROMAX! Sign up no here in W+! wplus8fifa.com/7777WIN"
spam,"CYRILLE JAYE H. Earn easy money tonight! here in SBET 68% live casino welcome BONUS! up to P6,888 Register now sbetfifa.com/SABONGFIGHT"
